id,museum,title,era,material,size,description,detail_url,image,download_link
3934,Staatliche Museen zu Berlin,"Titel A: ""Lotuskerne pflücken und am Grab trauern"" (採蓮哭墳) Teil 1;  Titel B: nicht bespielt",,,,"Modus, Melodietyp: Guǎngdōngdiào 廣東調
Interpret: Huázǎi 華仔

Titel des Stücks:  ""Lotuskerne pflücken und am Grab trauern - 1. Teil"" Cǎi lián kūfén (qí yī)  採蓮哭墳 (其一) 
* qí yī 其一 bedeutet ""erster Teil""",https://id.smb.museum/object/241636/titel-a-lotuskerne-pflucken-und-am-grab-trauern-%E6%8E%A1%E8%93%AE%E5%93%AD%E5%A2%B3-teil-1--titel-b-nicht,https://recherche.smb.museum/images/5229648_300x300.jpg,https://recherche.smb.museum/images/5229648_300x300.jpg
3935,Staatliche Museen zu Berlin,Titel A: Vordach aus Zedernholz   (杉廂) Teil 2; Titel B: nicht bespielt,,,,"Interpreten: Cháozhōubān 潮州班 (Gruppe aus Cháozhōu)
Titel: ""Vordach aus Zedernholz - 2. Teil""  Shānxiāng - qí èr (杉廂 - 其二)",https://id.smb.museum/object/241635/titel-a-vordach-aus-zedernholz---%E6%9D%89%E5%BB%82-teil-2-titel-b-nicht-bespielt,https://recherche.smb.museum/images/5229638_300x300.jpg,https://recherche.smb.museum/images/5229638_300x300.jpg
3936,Staatliche Museen zu Berlin,"Titel A: Beim dritten Versuch passen Schwert und Perle zusammen  (三合明珠寶劍-下卷) 2. Band, 1. Teil; Titel B: nicht bespielt",,,,"Modus: Guǎngdōngdiào 廣東調
Titel des Stücks: ""Beim dritten Versuch passen Schwert und Perle zusammen"", Sānhé míngzhū bǎojiàn -xiàjuàn - qí yī 三合明珠寶劍-下卷 *(xià juàn 下卷 bedeutet 2. Band, qí yī 其一 bedeutet 1. Teil) 
Interpreten: Dà Jiābǐng 大家炳; Yà Guǎng 亜廣; Xīn Biāo 新標",https://id.smb.museum/object/241634/titel-a-beim-dritten-versuch-passen-schwert-und-perle-zusammen--%E4%B8%89%E5%90%88%E6%98%8E%E7%8F%A0%E5%AF%B6%E5%8A%8D-%E4%B8%8B%E5%8D%B7-2-,https://recherche.smb.museum/images/5229623_300x300.jpg,https://recherche.smb.museum/images/5229623_300x300.jpg
3937,Staatliche Museen zu Berlin,Titel A: Weise Begegnung im Schnee (雪中遇賢) 6. Teil; Titel B: nicht bespielt,,,,"Modus: guǎngdōngdiào 廣東調 (Hong-Kong-modus, daher Gattung wohl Kanton-Oper)
Titel des Stücks: ""Weise Begegnung im Schnee"" Xuězhōng yù xián (qí liù) 雪中遇賢 (其六) 
Interpreten: Dà Niújīn 大牛金;  Yà Xí 亜錫",https://id.smb.museum/object/241633/titel-a-weise-begegnung-im-schnee-%E9%9B%AA%E4%B8%AD%E9%81%87%E8%B3%A2-6--teil-titel-b-nicht-bespielt,https://recherche.smb.museum/images/5228572_300x300.jpg,https://recherche.smb.museum/images/5228572_300x300.jpg
3938,Staatliche Museen zu Berlin,,,,,,https://id.smb.museum/object/241600/schellackplatte,https://recherche.smb.museum/images/5228569_300x300.jpg,https://recherche.smb.museum/images/5228569_300x300.jpg
3939,Staatliche Museen zu Berlin,,,,,,https://id.smb.museum/object/241599/schellackplatte,https://recherche.smb.museum/images/5228567_300x300.jpg,https://recherche.smb.museum/images/5228567_300x300.jpg
3940,Staatliche Museen zu Berlin,Titel A: Aufzeichnungen über die Pípa - Verabschieden in Nánpǔ (琵琶記・南浦) Teil 1;                                                                Titel B: Aufzeichnungen über die Pípa - Treffen auf dem Korridor (琵琶記・廊會) Teil 2,,,,"Ort: Kūnshān 昆山 (identisch mit VII_78_0820)
Gattung: Kūnqǔ 昆曲 (Kūn-Oper)
Interpret: Yáng xíxián (jūn) 楊習賢(君) *(jūn 君 ist nur ein Suffix für Männernamen)
Titel des Inhalts: ""Aufzeichnungen über die (chin. Schalenhalslaute) Pípa""; Pípa jì 琵琶記 Teil 1 & 2, 
unten zu Teil 1: nánpǔ 南浦 (Abkürzung für nánpǔzhǔbié 南浦嘱别 - ""Verabschieden in Nánpǔ"") , zu Teil 2: Lánghuì 廊會 (""Treffen auf dem Korridor"")",https://id.smb.museum/object/241598/titel-a-aufzeichnungen-uber-die-pipa---verabschieden-in-nanpu-%E7%90%B5%E7%90%B6%E8%A8%98%E3%83%BB%E5%8D%97%E6%B5%A6-teil-1-----,https://recherche.smb.museum/images/5228564_300x300.jpg,https://recherche.smb.museum/images/5228564_300x300.jpg
3941,Staatliche Museen zu Berlin,Titel A: Xiàogǎntiān (孝感天) Teil 1; Titel B: s. A Teil 2,,,,"Ort: Peking， Gattung: Peking-Oper (identisch mit VII_78_0817)
Modus: fǎn èrhuáng 反二黄
Interpreten: Chén, Délín 陳德霖 in der Qīngyī-Rolle (ernste Frauenrolle); Sūn Zuǒchén 孫佐臣 spielt das Instrument Húqín 胡琴
Titel des Stücks: Xiàogǎntiān 孝感天 *Xiào 孝 ist eine Abkürzung für xiàoxíng 孝行 (= ""kindliche Hingabe an die Eltern""), Gǎn ist  eine Abkürzung für gǎndòng 感动 (=""emotionale Ergriffenheit""), Tiān 天 bedeutet hier Himmel und meint ein himmlisches Wesen",https://id.smb.museum/object/241597/titel-a-xiaogantian-%E5%AD%9D%E6%84%9F%E5%A4%A9-teil-1-titel-b-s--a-teil-2,https://recherche.smb.museum/images/5228559_300x300.jpg,https://recherche.smb.museum/images/5228559_300x300.jpg
3942,Staatliche Museen zu Berlin,Titel A: Mutter besuchen  (探母見娘);                                           Titel B: Der gelbe Hund hilft seinem Herrn (黄犬救主),,,,"Ort: Běipíng 北平
Gattung: Bāngzi-Oper 梆子 (Klappern-Oper)
Rolle: Kūnjué 坤角 (Frauenrolle)
Interpretin: Xiǎo, Xiāngshuǐ 小香水
Titel der Stücke: Seite A: ""Mutter besuchen"" Tàn mǔ jiàn niáng 探母見娘; Seite B: ""Der gelbe Hund hilft seinem Herrn"" Huáng quǎn jiù zhǔ  黄犬救主",https://id.smb.museum/object/241596/titel-a-mutter-besuchen--%E6%8E%A2%E6%AF%8D%E8%A6%8B%E5%A8%98-------------------------------------------titel-b,https://recherche.smb.museum/images/5228555_300x300.jpg,https://recherche.smb.museum/images/5228555_300x300.jpg
3943,Staatliche Museen zu Berlin,Titel A: Der Phönix kehrt zu seinem Nest zurück (鳳還巢) Teil 1;         Titel B: s. A Teil 2,,,,"Ort: Peking (identisch mit VII 78/0823)
Gattung: Peking-Oper
Quánqiú chímíng língjiè dàwáng 全球馳名伶界大王 (""der weltberühmteste große Opern[mimen]-König"")
Schauspielername: Méi, Lánfāng 梅蘭芳
Titel des Stücks : Der Phönix kehrt zu seinem Nest zurück, Fèng huán cháo 鳳還巢",https://id.smb.museum/object/241595/titel-a-der-phonix-kehrt-zu-seinem-nest-zuruck-%E9%B3%B3%E9%82%84%E5%B7%A2-teil-1---------titel-b-s--a,https://recherche.smb.museum/images/5228552_300x300.jpg,https://recherche.smb.museum/images/5228552_300x300.jpg
3944,Staatliche Museen zu Berlin,Titel A: Cáocāo's Gefangennahme und Freilassung  捉放曹; Titel B: s. A,,,,"Gattung: Peking-Oper (siehe auch VII_78_0821)
Ort: Peking 
Operntyp: Xīpí 西皮
Schauspieler und Rollentyp: Tán, Fùyīng 譚富英 (15.10.1906-22.03.1977) als xūshēng-Rolle  (mittelalte Männerrolle mit langem Bart) aus der Tán-Schule 譚派鬚生 ; auf Seite B zusätzlich: Qiú Guìxiān 裘桂仙 (1878-1933) als  Rolle Huāmiàn 花面 (Rolle mit einem farblich geschminkten Muster)
Schauspieler: 
Titel: ""Cáocāo's Gefangennahme und Freilassung"" Zhuōfàngcáo 捉放曹  * Cáo ist der Familienname von Cáocāo 曹操",https://id.smb.museum/object/241594/titel-a-caocaos-gefangennahme-und-freilassung--%E6%8D%89%E6%94%BE%E6%9B%B9-titel-b-s--a,https://recherche.smb.museum/images/5228548_300x300.jpg,https://recherche.smb.museum/images/5228548_300x300.jpg
3945,Staatliche Museen zu Berlin,Titel A: Càimíngfèng (蔡明鳳) Teil 1; Titel B: s. A Teil 2,,,,"Ort: Húběi-Provinz
Gattung: 楚劇即花鼓調 chǔjù jí huāgǔdiào  *""Chǔ-Oper, nämlich: Huāgǔ-Oper""
Interpreten: 筱叫天 Xiǎo, Jiàotiān; 筱春芳 Xiǎo, Chūnfāng
Titel des Stücks: Càimíngfèng 蔡明鳳 *hierbei handelt es sich um den Namen einer bestimmten Frau",https://id.smb.museum/object/241593/titel-a-caimingfeng-%E8%94%A1%E6%98%8E%E9%B3%B3-teil-1-titel-b-s--a-teil-2,https://recherche.smb.museum/images/5228545_300x300.jpg,https://recherche.smb.museum/images/5228545_300x300.jpg
3946,Staatliche Museen zu Berlin,Titel A: Lied zur Vaterlandsliebe (愛國歌) Teil 1;                                 Titel B: s. A Teil 2,,,,"Ort: Fúzhōu 福州
Interpret: Zhèng Xīsī 鄭錫思
Titel des Stücks: ""Lied zur Vaterlandsliebe"" (oder ""patriotistisches Lied"") Àiguó-gē 愛國歌; Teil 1  und Teil 2",https://id.smb.museum/object/241592/titel-a-lied-zur-vaterlandsliebe-%E6%84%9B%E5%9C%8B%E6%AD%8C-teil-1--------------------------------,https://recherche.smb.museum/images/5228531_300x300.jpg,https://recherche.smb.museum/images/5228531_300x300.jpg
3947,Staatliche Museen zu Berlin,Titel A: Die Bucht von Fén (汾河灣);                                            Titel B: Das Schmetterlingsglas (蝴蝶盃),,,,"Gattung: Peking-Oper
Ort: Peking
Charakter der Melodie: Bāngzi 梆子 [?] (eventuell meint ""Bāngzi"" hier die ""Klapper-Oper"")
Interpret: Wáng, Chūnlín 王春霖
Rollentyp: Lǎoshēng 老生 (alter Mann)
Titel der Stücke: Seite A: ""Die Bucht vom Fén-Fluss"" Fénhéwān 汾河灣; Seite B: ""Schmetterlingsglas"" húdiébēi 蝴蝶盃",https://id.smb.museum/object/241591/titel-a-die-bucht-von-fen-%E6%B1%BE%E6%B2%B3%E7%81%A3--------------------------------------------titel-b,https://recherche.smb.museum/images/5228525_300x300.jpg,https://recherche.smb.museum/images/5228525_300x300.jpg
3948,Staatliche Museen zu Berlin,Titel A: Allein bewaffnet zum Bankett des Feindes - Messertreffen[?] (單刀會・刀會); Titel B: s. A  - Belehrung (單刀會・訓子),,,,"Ort: Kūnshān 昆山
Gattung: Kūn-qǔ 昆曲 (Kun-Oper)
Interpret: Gāo, Yànyún 髙硯耘 (君)  (das letzte Schriftzeichen jūn 君 ist ein Suffix für Männernamen und gehört nicht zum eigentlichen Namen)
Titel: Seite A: Allein bewaffnet zum Bankett des Feindes - Messertreffen[?], dāndāohuì - dāo huì 單刀會・刀會 ; Seite B: Allein bewaffnet zum Bankett des Feindes -  Belehrung; dāndāohuì  -  xùnzǐ 單刀會 - 訓子",https://id.smb.museum/object/241590/titel-a-allein-bewaffnet-zum-bankett-des-feindes---messertreffen-%E5%96%AE%E5%88%80%E6%9C%83%E3%83%BB%E5%88%80%E6%9C%83-titel-b,https://recherche.smb.museum/images/5227530_300x300.jpg,https://recherche.smb.museum/images/5227530_300x300.jpg
3949,Staatliche Museen zu Berlin,Titel A: Yuánmén shèjǐ (轅門射戟); Titel B: Cháng'é fliegt zum Mond (嫦娥奔月),,,,"Gattung: Peking-Oper 
Ort: Peking
Taktart: Seite A: èrliù 二六 (entspricht 2/4 Taktart) ;
Modus Seite B: nán bāngzi 南梆子 [?]
Interpret: Méi Lánfāng 梅蘭芳
Rollentyp: fǎnchuàn xiǎoshēng  反串小生 (fǎnchuàn bedeutet ""Rollentausch"". Méi Lánfāng, der für gewöhnlich Frauenrollen spielt, spielt hier im Rollentausch einen jungen Mann)
Titel der Stücke: Seite A: Yuánmén shèjǐ  轅門射戟; Seite B:  Cháng'é fliegt zum Mond, Cháng'é bēn yuè  嫦娥奔月",https://id.smb.museum/object/241589/titel-a-yuanmen-sheji-%E8%BD%85%E9%96%80%E5%B0%84%E6%88%9F-titel-b-change-fliegt-zum-mond-%E5%AB%A6%E5%A8%A5%E5%A5%94%E6%9C%88,https://recherche.smb.museum/images/5227505_300x300.jpg,https://recherche.smb.museum/images/5227505_300x300.jpg
3950,Staatliche Museen zu Berlin,"Titel A: ""Hsiao lien fen"" (Der kleine Lotosblumenduft) aus dem Theaterstück ""Shung guan-gao"" (Das doppelte Ehrendiplom)
Titel B: ""Hsiao lien fen"" (Der kleine Lotosblumenduft) aus dem Theaterstück ""Shung guan-gao"" (Das doppelte Ehrendiplom)",,,,,https://id.smb.museum/object/241513/titel-a-hsiao-lien-fen-der-kleine-lotosblumenduft-aus-dem-theaterstuck-shung,https://recherche.smb.museum/images/5401251_300x300.jpg,https://recherche.smb.museum/images/5401251_300x300.jpg
3951,Staatliche Museen zu Berlin,"Titel A: Szene aus dem Theaterstück ""Mai ma"" (Pferdehandel)
Titel B: Szene aus dem Theaterstück ""Hsiao Yü san sheng"" (Die drei Siege des kleinen Yü)",,,,,https://id.smb.museum/object/241512/titel-a-szene-aus-dem-theaterstuck-mai-ma-pferdehandel%0D%0Atitel-b-szene-aus-dem,https://recherche.smb.museum/images/5401250_300x300.jpg,https://recherche.smb.museum/images/5401250_300x300.jpg
3952,Staatliche Museen zu Berlin,"Titel A: Szene aus dem Theaterstück ""Huang tschu"" (Der gelbe Ort (Unterwelt?))
Titel B: Szene aus dem Theaterstück ""Huang tschu"" (Der gelbe Ort (Unterwelt?))",,,,,https://id.smb.museum/object/241511/titel-a-szene-aus-dem-theaterstuck-huang-tschu-der-gelbe-ort-unterwelt%0D%0Atitel-b,https://recherche.smb.museum/images/5401247_300x300.jpg,https://recherche.smb.museum/images/5401247_300x300.jpg
3953,Staatliche Museen zu Berlin,"Titel A: Szene aus dem Theaterstück ""Erh Du-me""
Titel B: Szene aus dem Theaterstück ""Erh Du-me""",,,,,https://id.smb.museum/object/241510/titel-a-szene-aus-dem-theaterstuck-erh-du-me%0D%0Atitel-b-szene-aus-dem-theaterstuck,https://recherche.smb.museum/images/5401246_300x300.jpg,https://recherche.smb.museum/images/5401246_300x300.jpg
3954,Staatliche Museen zu Berlin,"Titel A: Theaterszene
Titel B: Theaterszene",,,,,https://id.smb.museum/object/241509/titel-a-theaterszene%0D%0Atitel-b-theaterszene,https://recherche.smb.museum/images/5401243_300x300.jpg,https://recherche.smb.museum/images/5401243_300x300.jpg
3955,Staatliche Museen zu Berlin,"Titel A: Theaterszene
Titel B: Theaterszene",,,,,https://id.smb.museum/object/241508/titel-a-theaterszene%0D%0Atitel-b-theaterszene,https://recherche.smb.museum/images/5401241_300x300.jpg,https://recherche.smb.museum/images/5401241_300x300.jpg
3956,Staatliche Museen zu Berlin,"Titel A: Theaterszene
Titel B: Theaterszene",,,,,https://id.smb.museum/object/241507/titel-a-theaterszene%0D%0Atitel-b-theaterszene,https://recherche.smb.museum/images/5401239_300x300.jpg,https://recherche.smb.museum/images/5401239_300x300.jpg
3957,Staatliche Museen zu Berlin,"Titel A: Theaterszene
Titel B: Szene aus dem Theaterstück ""Yü do feng""",,,,,https://id.smb.museum/object/241506/titel-a-theaterszene%0D%0Atitel-b-szene-aus-dem-theaterstuck-yu-do-feng,https://recherche.smb.museum/images/5401235_300x300.jpg,https://recherche.smb.museum/images/5401235_300x300.jpg
3958,Staatliche Museen zu Berlin,"Titel A: Theaterszene
Titel B: Theaterszene",,,,,https://id.smb.museum/object/241505/titel-a-theaterszene%0D%0Atitel-b-theaterszene,https://recherche.smb.museum/images/5401233_300x300.jpg,https://recherche.smb.museum/images/5401233_300x300.jpg
3959,Staatliche Museen zu Berlin,"Titel A: Hirtenlied ""Mu yang djüan"" aus einem Theaterstück
Titel B: Szene aus dem Theaterstück ""Djou mu"" (Errettung der Mutter)",,,,,https://id.smb.museum/object/241504/titel-a-hirtenlied-mu-yang-djuan-aus-einem-theaterstuck%0D%0Atitel-b-szene-aus-dem,https://recherche.smb.museum/images/5401232_300x300.jpg,https://recherche.smb.museum/images/5401232_300x300.jpg
3960,Staatliche Museen zu Berlin,"Titel A: Theaterszene
Titel B: Theaterszene",,,,,https://id.smb.museum/object/241503/titel-a-theaterszene%0D%0Atitel-b-theaterszene,https://recherche.smb.museum/images/5401229_300x300.jpg,https://recherche.smb.museum/images/5401229_300x300.jpg
3961,Staatliche Museen zu Berlin,"Titel A: [chines.] ""Dàxiāng-Berg (大香山)
Titel B: [chines.] ""Der Jadetigeranhänger"" (玉虎神墜)",,,,"Ort: Peking 
Gattung: bāngzi 梆子 (Klapper-Oper)
Rollentyp : bāngzi qīngyī 梆子青衣 (ernste Frauenrolle)
Schauspielername: Xiǎo Yuè Fāng 小月芳 (dies ist ein Künstlername)
Namen der Stücke Seite A: ""Großer Duftberg"" Dà xiāng shān 大香山 
Seite B: ""Der Jadetigeranhänger"" Yù hǔ shén zhuì 玉虎神墜",https://id.smb.museum/object/241061/titel-a-chines--daxiang-berg-%E5%A4%A7%E9%A6%99%E5%B1%B1%0D%0Atitel-b-chines--der-jadetigeranhanger-%E7%8E%89%E8%99%8E%E7%A5%9E%E5%A2%9C,https://recherche.smb.museum/images/5226799_300x300.jpg,https://recherche.smb.museum/images/5226799_300x300.jpg
3962,Staatliche Museen zu Berlin,"Titel A: [chines.] Měi's Enthauptungsprozess  (鍘美案)
Titel B: [chines.] Schmetterlingsglas - Sohn von jemandem töten (蝴蝶盃打子)",,,,"Ort: Běipíng 
Gattung: bāngzi 梆子 (""Klapper-Oper"")
Rollentyp: kūn jué 坤角 (oder kūn líng 坤伶, alter Begriffe für weibliche Schauspielerin, URL: http://baike.baidu.com/view/860459.htm ; Stand 06.12.2016 15:32 Uhr)
Name: Xiǎo Xiāng Shuǐ 小香水 (dies ist eine Künstlername)
Titel des Stücks: Seite A:  Měi's Enthauptungsprozess, Zhá měi àn  鍘美案; Seite B: hú dié bēi dǎzi 蝴蝶盃打子",https://id.smb.museum/object/241060/titel-a-chines--meis-enthauptungsprozess--%E9%8D%98%E7%BE%8E%E6%A1%88%0D%0Atitel-b-chines-,https://recherche.smb.museum/images/5226802_300x300.jpg,https://recherche.smb.museum/images/5226802_300x300.jpg
3963,Staatliche Museen zu Berlin,"Titel A: [chines.] Blauer Wind-Pavillon (青風亭)
Titel B: [chines.] Unendliches Gold finden (拾萬金)",,,,"Ort: Peking
Gattung: Qínqiāng 秦腔 (Oper aus Shǎnxī-Provinz)
Rollentyp:  Qínqiāng huādàn   秦腔花旦 ( Frauenrolle)
Schauspielername: Qín, Fèngyún  秦鳳雲 
Name der Stücke: Seite A: Blauer Wind-Pavillon, qīng fēng tíng 青風亭; Seite B: Unendliches Gold finden, Shí wàn jīn 拾萬金",https://id.smb.museum/object/241059/titel-a-chines--blauer-wind-pavillon-%E9%9D%92%E9%A2%A8%E4%BA%AD%0D%0Atitel-b-chines--unendliches-gold,https://recherche.smb.museum/images/5226812_300x300.jpg,https://recherche.smb.museum/images/5226812_300x300.jpg
3964,Staatliche Museen zu Berlin,"Titel A: [chines.] ""Schmetterlingsglas"" ( 蝴蝶盃)
Titel B: [chines.] ""Das Haus verlassen um Mutter zu suchen"" (探母别家)",,,,"Ort: Peking 
Gattung: bāngzi  梆子 (wahrscheinlich Abkürzung für  bāngziqiāng 梆子腔, der ""Klapper-Oper"")
Rollentyp : qīngyī 青衣 (ernste Frauenrolle)
Schauspielername: Xiǎo Yuè Fāng 小月芳 (dies ist ein Künstlername)
Namen der Stücke Seite A: Schmetterlingsglas, húdié bēi  蝴蝶盃;
Seite B: Das Haus verlassen um Mutter zu suchen, Tàn mǔ biéjiā 探母别家",https://id.smb.museum/object/241058/titel-a-chines--schmetterlingsglas--%E8%9D%B4%E8%9D%B6%E7%9B%83%0D%0Atitel-b-chines--das-haus-verlassen-um,https://recherche.smb.museum/images/5226817_300x300.jpg,https://recherche.smb.museum/images/5226817_300x300.jpg
3965,Staatliche Museen zu Berlin,"Titel A: Trotz Dunkelheit Glaube an Gerechtigkeit  (暗室青天)
Titel B: s. A Teil 2",,,,"Ort: Peking 
Gattung: Qínqiāng 秦腔 (Oper aus Shǎnxī-Provinz)
Rollentyp: Qínqiāng huādàn 秦腔花旦 (junge oder mittelalte Frauenrolle)
Schauspielername: Qín, Fèngyún 秦鳳雲
Name des Stücks: ""Trotz Dunkelheit Glaube an Gerechtigkeit"", Àn shì qīng tiān 暗室青天 * qīng tiān bedeutet hier ""Gerechtigkeit""",https://id.smb.museum/object/241057/titel-a-trotz-dunkelheit-glaube-an-gerechtigkeit--%E6%9A%97%E5%AE%A4%E9%9D%92%E5%A4%A9%0D%0Atitel-b-s--a-teil-2,https://recherche.smb.museum/images/5226821_300x300.jpg,https://recherche.smb.museum/images/5226821_300x300.jpg
3966,Staatliche Museen zu Berlin,"Titel A: [chines.] ""Der Phönix kehrt zu seinem Nest zurück"" (鳳還巢) Teil 1
Titel B: [chines.] s. A Teil 2",1931 - 1934,,,"(gleich wie VII 78/1036)
Ort: Peking 
Quánqiú chímíng língjiè dàwáng 全球馳名伶界大王 (""der weltberühmteste große Opernmimen-König"")
Schauspielername: Méi, Lánfāng 梅蘭芳
Titel des Stücks : Der Phönix kehrt zu seinem Nest zurück, Fèng huán cháo 鳳還巢
Datierung: 1931-1934 (vgl. Gronow, Pekka; Hofer, Christiane (eds.): The Lindström Project: Beiträge zur Geschichte der Schallplattenindustrie Vol. 3, Wien, 2011, S. 90)",https://id.smb.museum/object/241056/titel-a-chines--der-phonix-kehrt-zu-seinem-nest-zuruck-%E9%B3%B3%E9%82%84%E5%B7%A2-teil-1%0D%0Atitel-b,https://recherche.smb.museum/images/5226825_300x300.jpg,https://recherche.smb.museum/images/5226825_300x300.jpg
3967,Staatliche Museen zu Berlin,"Titel A: [chines.] ""Südliches Himmelstor"" (南天門) Teil 1
Titel B: [chines.] s. A Teil 2",,,,"Ort: Běipíng 北平
Gattung: bāngzi 梆子 (""Klapper-Oper"")
Rollentyp: kūnjué 坤角 (alte Bezeichnung für weibliche Opern-Schauspielerin)
Schauspielerinnen: Xiǎo Xiāng Shuǐ 小香水 , Xiǎo Ruì Fāng 小瑞芳 (beide sind Künstlernamen)
Name des Stücks: ""Südliches Himmelstor"",  Nán Tiānmén 南天門",https://id.smb.museum/object/241055/titel-a-chines--sudliches-himmelstor-%E5%8D%97%E5%A4%A9%E9%96%80-teil-1%0D%0Atitel-b-chines--s--a-teil-2,https://recherche.smb.museum/images/5226830_300x300.jpg,https://recherche.smb.museum/images/5226830_300x300.jpg
3968,Staatliche Museen zu Berlin,"Titel A: Cáocāo's Gefangennahme und Freilassung (捉放曹)
Titel B: s. A",,,,"(gleich wie VII 78/1035)
Ort: Peking 
Operntyp: Xīpí 西皮
Schauspieler und Rollentyp: Tán, Fùyīng 譚富英 (15.10.1906-22.03.1977) als xūshēng-Rolle  (mittelalte Männerrolle mit langem Bart) aus der Tán-Schule 譚派鬚生 ; auf Seite B zusätzlich: Qiú Guìxiān 裘桂仙 (1878-1933) als  Rolle Huāmiàn 花面 (Rolle mit einem farblich geschminkten Muster)
Schauspieler: 
Titel: ""Cáocāo's Gefangennahme und Freilassung"" Zhuō fàng cáo 捉放曹  * Cáo ist der Familienname von Cáocāo 曹操",https://id.smb.museum/object/241054/titel-a-caocaos-gefangennahme-und-freilassung-%E6%8D%89%E6%94%BE%E6%9B%B9%0D%0Atitel-b-s--a,https://recherche.smb.museum/images/5226838_300x300.jpg,https://recherche.smb.museum/images/5226838_300x300.jpg
3969,Staatliche Museen zu Berlin,Titel A: Aufzeichnungen über die Pípa - Verabschieden in Nánpǔ (琵琶記・南浦) Teil 1;                                                                Titel B: Aufzeichnungen über die Pípa - Treffen auf dem Korridor (琵琶記・廊會) Teil 2,,,,"(gleich wie VII 78/1039)
Ort: Kūnshān 昆山 (identisch mit VII_78_0820)
Gattung: Kūnqǔ 昆曲 (Kūn-Oper)
Interpret: Yáng xíxián (jūn) 楊習賢(君) *(jūn 君 ist nur ein Suffix für Männernamen)
Titel des Inhalts: ""Aufzeichnungen über die (chin. Schalenhalslaute) Pípa""; Pípa jì 琵琶記 Teil 1 & 2, 
unten zu Teil 1: nánpǔ 南浦 (Abkürzung für nánpǔzhǔbié 南浦嘱别 - ""Verabschieden in Nánpǔ"") , zu Teil 2: Lánghuì 廊會 (""Treffen auf dem Korridor"")",https://id.smb.museum/object/241053/titel-a-aufzeichnungen-uber-die-pipa---verabschieden-in-nanpu-%E7%90%B5%E7%90%B6%E8%A8%98%E3%83%BB%E5%8D%97%E6%B5%A6-teil-1-----,https://recherche.smb.museum/images/5227475_300x300.jpg,https://recherche.smb.museum/images/5227475_300x300.jpg
3970,Staatliche Museen zu Berlin,"Titel A: Einen Weidenzweig abbrechen  (折柳)
Titel B: Yángguān (陽關)",,,,"Ort: Sūzhōu 蘇州
Gattung: Kūn-qǔ 昆, Kun-Oper
Interpreten: Gù, Chuánjiè 顧傳玠 （ursprünglicher Name Gù Shíyǔ 顧時雨，später Gù Zhìchéng 顧志成，01.1910-06.01.1965); Zhū  Chuánmíng 朱傳茗 （ursprünglicher Name 朱祖泉 Zhū Zǔquán, 1909-14.01.1974)
Titel des Stücks: Seite A: ""Einen Weidenzweig abbrechen"", Zhé liǔ 折柳; Seite B:  ""Yángguān"" (陽關) * Yángguān ist der Name eines befestigten Passes während der Westlichen Hàn-Dynastie",https://id.smb.museum/object/241052/titel-a-einen-weidenzweig-abbrechen--%E6%8A%98%E6%9F%B3%0D%0Atitel-b-yangguan-%E9%99%BD%E9%97%9C,https://recherche.smb.museum/images/5227457_300x300.jpg,https://recherche.smb.museum/images/5227457_300x300.jpg
3971,Staatliche Museen zu Berlin,"Titel A: Der Päonien-Pavillon (牡丹亭)
Titel B: Palast des langen Lebens (長生殿)",,,,"Ort: Kūnshān 崑山
Gattung: Kun-Oper
Rollentyp: Zhùmíng Kūnqǔ Dàjiā 著名昆曲大家 (""großartige Schauspieler der Kūn-Oper)
Interpret: Yú Zhèn Fēi (jūn) 俞掁飛君 *(jūn 君 ist nur ein Suffix für Männernamen)
Titel der Stücke: Seite A: Der Päonien-Pavillon  Mǔdāntíng  牡丹亭 ; Seite B: ""Palast des langen Lebens"" Chángshēngdiàn 長生殿
zu A unten: jīngmèng 驚夢 ""erschrecken [hier: mit Schreck aus dem Traum gerissen werden]; zu B unten:  jīngbiàn 驚變 ""überraschende Veränderung durch einen Vorfall""",https://id.smb.museum/object/241019/titel-a-der-paonien-pavillon-%E7%89%A1%E4%B8%B9%E4%BA%AD%0D%0Atitel-b-palast-des-langen-lebens-%E9%95%B7%E7%94%9F%E6%AE%BF,https://recherche.smb.museum/images/5227211_300x300.jpg,https://recherche.smb.museum/images/5227211_300x300.jpg
3972,Staatliche Museen zu Berlin,"Titel A: [chines.]  Xiàogǎntiān (孝感天) Teil 1
Titel B: [chines.] s. A Teil 2",,,,"(gleich wie VII 78/1038)
Ort: Peking 
Gattung: Peking-Oper
Modus: fǎn èrhuáng 反二黄
Interpreten: Chén, Délín 陳德霖 in der Qīngyī-Rolle (ernste Frauenrolle); Sūn Zuǒchén 孫佐臣 spielt das Instrument Húqín 胡琴
Titel des Stücks: Xiàogǎntiān 孝感天 *Xiào 孝 ist eine Abkürzung für xiàoxíng 孝行 (= ""kindliche Hingabe an die Eltern""), Gǎn ist  eine Abkürzung für gǎndòng 感动 (=""emotionale Ergriffenheit""), Tiān 天 bedeutet hier Himmel und meint ein himmlisches Wesen",https://id.smb.museum/object/241018/titel-a-chines---xiaogantian-%E5%AD%9D%E6%84%9F%E5%A4%A9-teil-1%0D%0Atitel-b-chines--s--a-teil-2,https://recherche.smb.museum/images/5227202_300x300.jpg,https://recherche.smb.museum/images/5227202_300x300.jpg
